Student_ID,Attendance_Rate,Missing_Assignments,GPA_Trend,Current_GPA,Previous_GPA,Assessment_Average,Study_Activity,At_Risk
ST0001,68.72700594236812,3,1.424617600293729,3.8571353499901306,2.4325177496964017,87.88581221449371,30.950171599373107,0
ST0002,97.53571532049581,4,0.5435176513185147,2.4154883609413966,1.8719707096228821,75.2088024975716,33.843779760016545,1
ST0003,86.59969709057026,1,-0.24763178671877561,2.648329407206779,2.8959611939255545,89.4796957494632,29.914299876329284,0
ST0004,79.93292420985183,2,0.6051931222673543,4.0,3.793372253766872,68.52285224431292,27.624254396964194,0
ST0005,57.80093202212183,4,0.7689953594404773,3.247694685275517,2.4786993258350396,59.504560298831265,21.75615701823626,1
ST0006,57.79972601681013,4,0.839886607166338,4.0,3.6123759431815103,94.91995747060602,94.05587186157142,0
ST0007,52.90418060840997,4,-0.06636808304082709,1.434234103253839,1.5006021862946661,37.356400638461665,22.977051751553773,1
ST0008,93.30880728874675,3,-0.2103517256254559,1.7109348830225046,1.9212866086479605,90.64846432294797,28.396339728898255,1
ST0009,80.05575058716045,3,-1.466915747193299,0.10914310194191512,1.576058849135214,50.003156037205805,32.16391515827071,1
ST0010,85.40362888980228,1,1.279671345425514,3.600039296713186,2.320367951287672,90.16786130400791,93.97133858173785,0
ST0011,51.029224714790125,4,0.3099236351668293,4.0,3.770473989241257,44.047779872097564,78.01427202409762,1
ST0012,98.49549260809971,2,-0.8905381884300957,0.8518421205673737,1.7423803089974694,72.71423263988513,81.07294872839633,1
ST0013,91.62213204002109,2,1.25881025826431,4.0,3.016024441859501,92.72701473574568,19.428243358464826,0
ST0014,60.61695553391381,2,1.2447957053108891,3.8735355531094995,2.6287398477986104,65.78007704842788,85.26788875141045,0
ST0015,59.09124836035503,6,1.467552493098288,4.0,3.8461705309145313,83.52683379722055,46.73737736356762,1
ST0016,59.17022549267169,1,1.1221696894169364,2.9284675457596707,1.8062978563427345,87.3036551606113,33.654072359114984,1
ST0017,65.21211214797688,2,1.4933531634601942,3.5234227897157666,2.0300696262555724,82.87212356659064,61.81750751682795,0
ST0018,76.2378215816119,2,-0.7659414356301822,0.8079134858985509,1.5738549215287332,95.14643289684889,83.99646152350606,1
ST0019,71.5972509321058,2,1.0267487555977022,3.6115868796761363,2.584838124078434,64.04422498379536,80.07869359674184,0
ST0020,64.5614570099021,5,0.9690849263872936,3.1636671752989294,2.194582248911636,46.253153545735124,90.09977343230189,1
ST0021,80.59264473611897,3,-0.8071789223377988,2.8675859123880034,3.6747648347258024,38.10771914066119,93.53189674138996,1
ST0022,56.97469303260209,1,-1.2046873529970277,1.80766467999736,3.0123520329943876,51.01989152643783,31.43098642849746,1
ST0023,64.6072324267609,3,1.4382615410327988,4.0,3.0352268449392543,44.30783775221573,48.14721047523445,1
ST0024,68.31809216468459,5,-0.6119263454381689,2.217850396765087,2.829776742203256,71.26666819324123,11.316568528456301,1
ST0025,72.8034992108518,4,1.112675371403418,2.8423012144764206,1.7296258430730025,47.02144691876258,89.13894933385541,1
ST0026,89.25879806965068,4,-1.4876185359761882,1.1249281733371999,2.612546709313388,37.53069097380913,23.91149363272908,1
ST0027,59.98368910791799,5,-1.4369255783411934,2.561837395930098,3.9987629742712913,37.33933887646341,87.53273311084249,1
ST0028,75.71172192068059,2,-0.10238607391089483,3.4856871532041422,3.588073227115037,89.052017393716,39.64485897879368,0
ST0029,79.62072844310212,3,-0.7838559481948093,2.9497916872229806,3.73364763541779,73.44424554379661,43.13202309830244,1
ST0030,52.32252063599989,2,0.5695238503078928,4.0,3.5580658981162485,58.27554462306958,13.521902903547343,1
ST0031,80.37724259507192,8,0.196692976703863,1.9542972102813196,1.7576042335774567,93.12482277811606,39.419091078878765,1
ST0032,58.526206184364575,3,-1.2675426076485257,0.8010780275134735,2.068620635161999,39.56277974150139,89.95273145211377,1
